Date,Open,High,Low,Close,Volume,UpperB,LowerB,PercentB
2011/9/13,117.050003,118.18,116.220001,117.739998,272514700,123.4387232,112.4222766,0.4827075
2011/9/14,118.339996,120.800003,116.720001,119.370003,319389500,123.4146333,112.4243672,0.631980677
2011/9/15,120.650002,121.470001,119.400002,121.43,326777200,123.6743532,112.3406475,0.801975344
2011/9/16,121.290001,121.970001,120.32,121.519997,284528300,123.9809968,112.7350034,0.781166528
2011/9/19,119.529999,120.93,118.720001,120.309998,241517000,123.733267,113.7497331,0.657108493
2011/9/20,120.82,121.989998,120.010002,120.169998,218932200,123.2555584,114.9714412,0.627532987
2011/9/21,120.230003,120.599998,116.440002,116.629997,316251300,123.2400367,115.0059624,0.197233413
2011/9/22,113.25,114.209999,111.300003,112.860001,513911300,123.8311117,113.8928873,-0.10393067
2011/9/23,112.110001,114.160004,112.019997,113.540001,307242500,124.1261481,113.3238511,0.020009621
2011/9/26,114.610001,116.400002,112.980003,116.239998,260673700,124.1449452,113.1320537,0.282209654
2011/9/27,118.529999,119.559998,116.839996,117.540001,311753900,123.8198457,113.0751532,0.41553984
2011/9/28,117.779999,118.489998,114.970001,115.139999,286696800,123.4604563,112.7805425,0.220924677
2011/9/29,117.050003,117.629997,113.93,116.050003,298108900,122.8596568,112.7643422,0.325463935
2011/9/30,114.449997,115.449997,113.07,113.150002,288392300,122.6527783,112.1922207,0.09156121
2011/10/3,112.489998,113.949997,109.809998,109.93,365136800,123.2293615,110.8236377,-0.072034307
2011/10/4,108.349998,112.580002,107.43,112.339996,459177500,123.34163,110.246369,0.159876693
2011/10/5,112.620003,114.720001,111.580002,114.419998,284108000,122.9131591,110.0878396,0.337781713
2011/10/6,114.360001,116.660004,113.510002,116.489998,257800800,122.6734818,110.0725166,0.509284908
2011/10/7,117.169998,117.25,115.059998,115.709999,312657900,122.6668593,110.0581392,0.448250081
2011/10/10,117.68,119.629997,117.669998,119.580002,230666300,122.9744783,110.0415206,0.737532871
2011/10/11,118.870003,120.040001,118.75,119.699997,209088000,123.2090585,110.0029403,0.734285165
2011/10/12,120.599998,122.139999,120.330002,120.75,281544900,123.4268358,109.9231627,0.801769803
2011/10/13,120.040001,120.870003,119.120003,120.510002,212538800,123.2558117,110.002187,0.792825753
2011/10/14,121.910004,122.599998,121.230003,122.57,211397600,123.4857251,109.8772739,0.932709089
2011/10/17,121.989998,122.550003,119.93,120.230003,202311600,123.4728327,109.8821668,0.761392876
2011/10/18,120.139999,123.5,119.199997,122.580002,318857900,123.9311722,109.6648277,0.905289669
2011/10/19,122.379997,123.080002,120.709999,121.129997,226601300,124.4131167,109.6328832,0.777870919
2011/10/20,121.43,122.099998,119.82,121.660004,262075600,124.8573779,110.0686223,0.78379696
2011/10/21,123.089996,124.120003,122.720001,123.970001,278999400,125.6790205,110.2899797,0.88894568
2011/10/24,124.169998,125.800003,124.059998,125.489998,203215600,126.7850914,110.1089088,0.922338736
2011/10/25,124.889999,124.949997,122.779999,123.050003,268596800,127.2952216,110.1497788,0.752399593
2011/10/26,124.349998,124.769997,122.209999,124.300003,289053800,127.9243862,110.4366146,0.792747566
2011/10/27,127.629997,129.419998,126.610001,128.630005,393220200,129.3763744,110.2426266,0.96099199
2011/10/28,128,128.850006,127.800003,128.600006,225906500,130.3770913,110.7869101,0.909286939
2011/10/31,127.160004,128.619995,125.32,125.5,228146700,129.9974276,112.7235738,0.739639594
2011/11/1,122.029999,123.510002,121.519997,122,416565800,129.364798,114.3222038,0.510403731
2011/11/2,123.830002,124.400002,122.790001,123.989998,244717600,129.0282726,115.6157292,0.624360984
2011/11/3,125.269997,126.5,123.599998,126.25,291174800,129.1392301,116.4807719,0.771754975
2011/11/4,125.230003,125.699997,124.010002,125.480003,249401600,128.7704806,117.8265218,0.699333882
2011/11/7,125.389999,126.389999,124.199997,126.260002,196617200,128.9624421,118.3025603,0.746484983
2011/11/8,126.919998,128.020004,125.709999,127.879997,224426300,129.3562334,118.726769,0.861118461
2011/11/9,124.889999,125.800003,122.860001,123.160004,337982000,129.2676834,119.0563194,0.401874285
2011/11/10,124.790001,124.940002,123.019997,124.32,231866500,129.1600613,119.5449413,0.496619772
2011/11/11,125.830002,126.989998,125.790001,126.660004,189924400,129.3931778,119.7208252,0.717424092
2011/11/14,126.190002,127.449997,124.919998,125.459999,159258300,129.2151676,120.421835,0.57295274
2011/11/15,125.169998,126.75,124.720001,126.080002,184709400,129.2925516,120.694451,0.6263652
2011/11/16,124.809998,126.339996,123.900002,124.080002,235782500,129.0682719,121.2137312,0.364918955
2011/11/17,123.849998,124.160004,121.230003,122.110001,331219600,129.0111498,121.315853,0.103199142
2011/11/18,122.5,122.75,121.470001,121.980003,215580400,129.1378748,120.9901282,0.12149062
2011/11/21,120.199997,120.349998,118.650002,119.660004,229611600,129.499922,120.0450816,-0.040728096
2011/11/22,119.400002,120.099998,118.519997,119.190002,216494900,129.8830795,119.275924,-0.008100377
2011/11/23,118.07,119.190002,116.559998,116.559998,224329100,130.5972142,117.7877888,-0.095850572
2011/11/25,116.379997,117.699997,116.199997,116.339996,99557000,130.5253948,116.6306073,-0.020915132
2011/11/28,119.540001,120.18,118.82,119.709999,210686000,129.8621374,116.404864,0.245602131
2011/11/29,120.050003,121,119.610001,120.050003,199241500,129.6274294,116.0945723,0.292283491
2011/11/30,123.489998,125.220001,120,124.989998,324439500,129.8287571,116.1922444,0.645161545
2011/12/1,124.849998,125.639999,124.43,124.970001,176954800,129.9213427,116.1976591,0.639211902
2011/12/2,126.120003,126.5,124.779999,124.860001,221109700,129.7430752,116.2369267,0.638455463
2011/12/5,126.839996,127.18,125.440002,126.220001,225263900,129.8453116,116.2086901,0.734148915
2011/12/6,126.209999,127.110001,125.760002,126.260002,178842100,129.8453116,116.2086901,0.737082267
2011/12/7,125.839996,127.260002,124.970001,126.730003,237802500,129.6331338,116.3058685,0.782166055
2011/12/8,125.900002,126.18,123.650002,123.949997,240862800,129.6867388,116.3312628,0.570457706
2011/12/9,124.510002,126.370003,124.400002,126.050003,209111400,129.8885656,116.3024363,0.717464591
2011/12/12,124.949997,124.970001,123.160004,124.209999,215826100,129.5812651,116.3647363,0.593594795
2011/12/13,124.860001,125.57,122.449997,123.050003,245159800,129.356894,116.3481078,0.515182208
2011/12/14,122.559998,123.029999,121.470001,121.739998,238618800,128.9739877,116.2970137,0.429359901
2011/12/15,123.029999,123.199997,121.989998,122.18,199109200,128.844691,116.2363102,0.471407859
2011/12/16,122.230003,122.949997,121.300003,121.589996,220481400,128.8304449,116.1985558,0.42681187
2011/12/19,122.059998,122.32,120.029999,120.290001,183903000,128.8208308,116.0391697,0.33257268
2011/12/20,122.18,124.139999,120.370003,123.93,225418100,128.929129,116.3578711,0.602336613
2011/12/21,123.93,124.360001,122.75,124.169998,194230900,128.9939561,116.7910436,0.604687971
2011/12/22,124.629997,125.400002,124.230003,125.269997,119465400,128.7295709,117.9264287,0.679762255
2011/12/23,125.669998,126.43,125.410004,126.389999,92187200,128.2810262,119.3799737,0.787550158
2011/12/27,126.169998,126.82,126.059998,126.489998,86075700,128.321357,120.0176428,0.779453034
2011/12/28,126.510002,126.529999,124.730003,124.830002,119107100,128.0849883,120.7320114,0.557324014
2011/12/29,125.239998,126.25,124.860001,126.120003,123507200,128.2131492,120.716851,0.720776024
2011/12/30,126.019997,126.330002,125.5,125.5,95599000,128.2621095,120.7208906,0.633731689
2012/1/3,127.760002,128.380005,127.43,127.5,193697900,128.6261282,120.6208718,0.859326403
2012/1/4,127.199997,127.809998,126.709999,127.699997,127186500,128.8752958,120.5197038,0.859339849
2012/1/5,127.010002,128.229996,126.43,128.039993,173895000,129.1749731,120.3980256,0.870686239
2012/1/6,128.199997,128.220001,127.290001,127.709999,148050000,129.3358022,120.3351961,0.819367362
2012/1/9,128,128.179993,127.410004,128.020004,99530200,129.7345554,120.3434436,0.81742828
2012/1/10,129.389999,129.649994,128.949997,129.130005,115282000,130.2185982,120.167401,0.891695174
2012/1/11,128.729996,129.369995,128.520004,129.199997,111540700,130.7501658,120.1348332,0.853968889
2012/1/12,129.570007,129.699997,128.539993,129.509995,118983700,131.243641,120.2873572,0.841766969
2012/1/13,128.639999,129.050003,127.720001,128.839996,179836200,131.4174705,120.8235275,0.756703006
2012/1/17,130.080002,130.320007,128.899994,129.339996,132209200,131.6196518,121.3373458,0.778293331
2012/1/18,129.309998,130.839996,129.080002,130.770004,163395200,131.876183,121.9988154,0.888008725
2012/1/19,131.220001,131.570007,130.800003,131.460007,126328900,131.7480759,123.2439231,0.966126088
2012/1/20,131.240005,131.949997,130.919998,131.949997,138230200,132.2446897,123.549309,0.96610928
2012/1/23,131.509995,132.25,130.979996,131.610001,129295800,132.5465939,123.9914051,0.890523412
2012/1/24,130.800003,131.5,130.600006,131.460007,103083300,132.8381594,124.3188406,0.83823209
2012/1/25,131.259995,132.869995,130.75,132.559998,198613200,133.367288,124.4067119,0.909906458
2012/1/26,133.149994,133.399994,131.360001,131.880005,184880500,133.6779466,124.635054,0.801176274
2012/1/27,131.240005,132.050003,131.149994,131.820007,135259100,133.6871408,125.3248603,0.776719544
2012/1/30,130.509995,131.440002,130.059998,131.369995,147311800,133.7067221,125.8302782,0.703327147
2012/1/31,132.020004,132.179993,130.679993,131.320007,157212000,133.4981054,126.6208956,0.683287488
2012/2/1,132.289993,133.139999,132.130005,132.470001,166234500,133.6855874,126.9304137,0.820051053
2012/2/2,132.729996,133.020004,132.210007,132.679993,113090400,133.8584542,127.2555465,0.821523901
2012/2/3,134,134.619995,133.770004,134.539993,160598500,134.4120069,127.3519938,1.018128316
2012/2/6,133.979996,134.509995,133.830002,134.449997,107694500,134.760844,127.6771565,0.956117909
2012/2/7,134.169998,135.020004,133.639999,134.789993,135528100,135.1060768,128.0089226,0.955463306
2012/2/8,134.860001,135.220001,134.309998,135.190002,139361400,135.5676778,128.1533213,0.949061551
2012/2/9,135.410004,135.589996,134.559998,135.360001,148602900,135.9674197,128.3695798,0.920053766
2012/2/10,134.160004,134.470001,133.839996,134.360001,167907500,136.113344,128.7086561,0.763211759
2012/2/13,135.320007,135.520004,134.740005,135.360001,115841900,136.2592284,129.2147722,0.872349637
2012/2/14,135,135.270004,134.25,135.190002,165329500,136.3284759,129.7305253,0.827450373
2012/2/15,135.630005,135.830002,134.289993,134.559998,195195100,136.4049654,130.0330352,0.710453919
2012/2/16,134.570007,136.169998,134.330002,136.050003,186567800,136.7597693,130.1372309,0.892825645
2012/2/17,136.520004,136.630005,135.960007,136.410004,129869400,137.1541432,130.1888577,0.89316458
2012/2/21,136.729996,137.050003,136.050003,136.470001,134042300,137.4689683,130.3600326,0.859477236
2012/2/22,136.259995,136.550003,135.789993,136.029999,124455300,137.6198166,130.6661835,0.771368785
2012/2/23,135.960007,136.729996,135.5,136.630005,137704300,137.9085889,130.7844119,0.8205289
2012/2/24,136.929993,137.199997,136.630005,136.929993,105539100,138.1408093,131.0571903,0.829068124
2012/2/27,136.020004,137.529999,135.800003,137.160004,145728900,138.3299837,131.4020156,0.831122244
2012/2/28,137.199997,137.720001,136.929993,137.559998,129355900,138.4236864,131.9273132,0.867050675
2012/2/29,137.759995,138.190002,136.539993,137.020004,185934700,138.2525476,132.6684517,0.779276068
2012/3/1,137.309998,137.990005,136.929993,137.729996,145023500,138.3130708,133.133928,0.887418668
2012/3/2,137.639999,137.820007,137,137.309998,120638300,138.2044501,133.7055492,0.80118431
2012/3/5,137.100006,137.199997,136.279999,136.75,140765000,138.2380902,133.8929098,0.657530856
2012/3/6,135.350006,135.429993,134.360001,134.75,202129900,138.2098388,133.9511615,0.187579017
2012/3/7,135.059998,135.910004,134.929993,135.690002,143692200,138.1766094,134.0743918,0.393838248
2012/3/8,136.520004,137.320007,136.240005,137.039993,116968900,138.258304,134.1776963,0.70143883
2012/3/9,137.300003,137.929993,137.130005,137.570007,122836800,138.4120724,134.2449285,0.797927443
2012/3/12,137.550003,137.759995,137.089996,137.580002,104003500,138.4249802,134.5540208,0.781713488
2012/3/13,138.320007,140.130005,138.089996,140.059998,184090500,139.1594249,134.2895758,1.184928337
2012/3/14,140.100006,140.449997,139.479996,139.910004,145163600,139.6688074,134.2521935,1.044529038
2012/3/15,140.119995,140.779999,139.759995,140.720001,165118500,140.2177218,134.3192794,1.085154553
2012/3/16,140.360001,140.479996,140,140.300003,152893500,140.6637567,134.2982445,0.942855554
2012/3/19,140.210007,141.279999,140.110001,140.850006,125291100,141.1772573,134.2287441,0.952903408
2012/3/20,140.050003,140.610001,139.639999,140.440002,121729700,141.5293904,134.2736111,0.849859211
2012/3/21,140.520004,140.649994,139.919998,140.210007,122388400,141.7659392,134.4550631,0.787175682
2012/3/22,139.179993,139.550003,138.740005,139.199997,135216700,141.8557882,134.6222133,0.632852187
2012/3/23,139.320007,139.809998,138.550003,139.649994,120521000,141.9890946,134.760907,0.676391826
2012/3/26,140.649994,141.610001,140.600006,141.610001,120164000,142.4375071,134.7574942,0.892251988
2012/3/27,141.740005,141.830002,141.080002,141.169998,119868500,142.7497843,134.806217,0.801123819
2012/3/28,141.100006,141.320007,139.639999,140.470001,148562100,142.9004172,135.0005838,0.692345889
2012/3/29,139.639999,140.490005,139.089996,140.229996,164963700,143.021017,135.129984,0.646304735
2012/3/30,140.919998,141.050003,140.050003,140.809998,135486800,143.1767338,135.3242672,0.698599701
2012/4/2,140.639999,142.210007,140.360001,141.839996,151741100,143.4085828,135.6014178,0.799083688
2012/4/3,141.639999,141.880005,140.429993,141.259995,155806700,143.0985679,136.5624322,0.71870644
2012/4/4,140.220001,140.339996,139.339996,139.860001,146896000,142.6635389,137.4144611,0.465898962
2012/4/5,139.380005,140.199997,139.259995,139.789993,137439400,142.3964482,137.9565518,0.412946842
2012/4/9,138.029999,139.839996,137.839996,138.220001,127555900,142.2824796,138.1355198,0.020371845
2012/4/10,137.949997,138.339996,135.759995,135.899994,235360300,142.7179673,137.5320313,-0.314704474
2012/4/11,137.289993,137.539993,136.75,137,154133000,142.9181748,137.025824,-0.004382625
